text_id,align_idx,level,mean_FD,median_FD,mean_nonzero_FD,n_subjects,n_rows
1_4_3,129,Adv,192.40561364887176,176.0,192.40561364887176,60,1817
1_4_3,129,Ele,192.37423846823324,181.0,192.37423846823324,60,1149
1_4_3,130,Adv,192.2433234421365,177.0,192.2433234421365,60,1011
1_4_3,130,Ele,186.97596153846155,179.0,186.97596153846155,60,624
1_4_3,131,Adv,196.93705293276108,181.0,196.93705293276108,60,1398
1_4_3,131,Ele,189.75179487179489,177.0,189.75179487179489,60,975
1_4_3,132,Adv,200.26116625310175,180.0,200.26116625310175,60,1612
1_4_3,132,Ele,199.74414715719064,185.5,199.74414715719064,60,598
1_4_4,133,Adv,194.53106605624592,180.0,194.53106605624592,60,1529
1_4_4,133,Ele,194.29963099630996,177.0,194.29963099630996,60,1355
1_4_4,134,Adv,188.56525911708255,173.0,188.56525911708255,60,1042
1_4_4,134,Ele,195.34106280193237,181.0,195.34106280193237,60,1035
1_4_4,135,Adv,194.57459505541348,176.0,194.57459505541348,60,1173
1_4_4,135,Ele,198.54384017758048,185.0,198.54384017758048,60,901
1_4_4,136,Adv,197.62317073170732,178.0,197.62317073170732,60,820
1_4_4,136,Ele,194.45880149812734,175.0,194.45880149812734,60,534
1_4_4,137,Adv,195.30453879941436,182.0,195.30453879941436,60,683
1_4_4,137,Ele,185.86046511627907,170.5,185.86046511627907,60,430
1_4_4,138,Adv,193.67977282656182,179.0,193.67977282656182,60,2289
1_4_4,138,Ele,196.99892588614392,183.0,196.99892588614392,60,1862
1_4_4,139,Adv,193.54924242424244,175.5,193.54924242424244,59,792
1_4_4,139,Ele,191.6452599388379,180.0,191.6452599388379,60,327
1_4_4,140,Adv,193.57142857142858,184.0,193.57142857142858,59,707
1_4_4,140,Ele,190.7619893428064,179.0,190.7619893428064,57,563
1_4_4,141,Adv,191.81757508342602,178.0,191.81757508342602,58,899
1_4_5,142,Adv,189.8368087035358,179.0,189.8368087035358,60,1103
1_4_5,142,Ele,192.17814113597245,177.0,192.17814113597245,60,1162
1_4_5,143,Adv,187.18535825545172,177.0,187.18535825545172,60,1284
1_4_5,143,Ele,192.93168168168168,176.0,192.93168168168168,60,1332
1_4_5,144,Adv,195.9566712517194,182.0,195.9566712517194,60,1454
1_4_5,144,Ele,186.88641596316194,174.0,186.88641596316194,60,1303
1_4_5,145,Adv,193.00751879699249,177.0,193.00751879699249,60,1197
1_4_5,145,Ele,186.10104861773118,171.0,186.10104861773118,60,1049
1_5_1,146,Adv,194.98813241723923,180.0,194.98813241723923,60,1601
1_5_1,146,Ele,187.47199453551912,176.0,187.47199453551912,60,1464
1_5_1,147,Adv,196.29974160206717,183.0,196.29974160206717,60,1161
1_5_1,147,Ele,186.19160104986878,176.0,186.19160104986878,60,1143
1_5_1,148,Adv,185.50936768149882,173.0,185.50936768149882,58,854
1_5_1,148,Ele,183.99706744868035,174.5,183.99706744868035,58,682
1_5_2,149,Adv,194.75616438356164,177.0,194.75616438356164,60,1095
1_5_2,149,Ele,191.6307857911733,182.0,191.6307857911733,60,929
1_5_2,150,Adv,183.11340206185568,170.0,183.11340206185568,60,679
1_5_2,150,Ele,196.06153846153848,183.0,196.06153846153848,60,585
1_5_2,151,Adv,192.24273255813952,176.0,192.24273255813952,60,688
1_5_2,151,Ele,181.19941775836972,167.0,181.19941775836972,60,687
1_5_2,152,Adv,192.54378531073445,182.0,192.54378531073445,60,1416
1_5_2,152,Ele,193.54333868378814,180.5,193.54333868378814,60,1246
1_5_2,153,Adv,195.3049841772152,178.0,195.3049841772152,60,2528
1_5_2,153,Ele,194.50677618069815,181.0,194.50677618069815,60,2435
1_5_2,154,Adv,195.2809642560266,177.0,195.2809642560266,60,1203
1_5_2,154,Ele,191.8875,175.0,191.8875,58,640
1_5_3,155,Adv,196.8641395504864,181.0,196.8641395504864,60,2981
1_5_3,155,Ele,196.04318936877075,181.0,196.04318936877075,60,1505
1_5_3,156,Adv,195.181589958159,184.0,195.181589958159,60,1195
1_5_3,156,Ele,191.2800875273523,180.0,191.2800875273523,60,914
1_5_3,157,Adv,196.93910761154856,181.0,196.93910761154856,60,1905
1_5_3,157,Ele,187.91912512716175,173.0,187.91912512716175,60,1966
1_5_3,158,Adv,197.3486884197057,183.0,197.3486884197057,60,1563
1_5_3,158,Ele,190.77576601671308,175.5,190.77576601671308,59,718
1_5_4,159,Adv,196.97043010752688,188.0,196.97043010752688,59,372
1_5_4,159,Ele,206.43406593406593,190.0,206.43406593406593,60,364
1_5_4,160,Adv,197.72938530734632,182.0,197.72938530734632,60,1334
1_5_4,160,Ele,192.19010416666666,181.0,192.19010416666666,60,768
1_5_4,161,Adv,193.63346104725414,177.0,193.63346104725414,60,783
1_5_4,162,Adv,204.2738301559792,187.0,204.2738301559792,59,577
1_5_4,163,Adv,199.62843629914278,185.0,199.62843629914278,60,3383
1_5_4,163,Ele,198.87494646680943,183.0,198.87494646680943,60,2335
1_5_4,164,Adv,197.09382566585955,181.0,197.09382566585955,60,1652
1_5_4,164,Ele,192.27970897332256,180.0,192.27970897332256,60,1237
1_5_4,165,Adv,193.04875346260388,176.0,193.04875346260388,59,1805
1_5_4,165,Ele,193.71836506159013,182.0,193.71836506159013,60,1786
1_5_5,166,Adv,193.48379052369077,183.0,193.48379052369077,60,2005
