text_id,align_idx,level,mean_TF,median_TF,mean_nonzero_TF,n_subjects,n_rows
1_6_2,172,Ele,402.23573017049665,270.0,494.6362807657247,59,1349
1_6_2,173,Adv,359.31822429906543,253.0,466.30745906610065,58,2140
1_6_2,173,Ele,310.93305870236867,224.0,421.6703910614525,59,1942
1_6_2,174,Adv,391.9334975369458,306.5,480.74018126888217,58,406
1_6_2,174,Ele,262.8471986417657,218.0,355.9011494252874,59,589
1_6_2,175,Adv,223.2480533926585,165.0,351.79666958808065,58,1798
1_6_2,175,Ele,237.6734135667396,173.0,363.5707112970711,59,1828
1_6_2,176,Adv,203.22931034482758,163.5,301.46547314578004,58,580
1_6_2,176,Ele,238.20169491525425,176.5,363.1498708010336,59,590
1_6_3,177,Adv,329.1980452674897,219.0,449.41081460674155,59,1944
1_6_3,177,Ele,321.87809085681425,218.0,438.67241379310343,58,1739
1_6_3,178,Adv,280.3545197740113,204.0,393.4410307234886,59,1416
1_6_3,178,Ele,294.3698275862069,221.0,396.13573085846866,58,1160
1_6_3,179,Adv,317.0127334465195,235.0,416.78683035714283,59,1178
1_6_3,179,Ele,325.8078431372549,227.0,428.2525773195876,58,1275
1_6_3,180,Adv,397.1344165435746,277.0,503.0121608980356,59,1354
1_6_3,180,Ele,310.3813387423935,234.5,411.8923283983849,58,986
1_6_4,181,Adv,307.3405172413793,223.0,393.939226519337,58,928
1_6_4,181,Ele,264.9933677229182,189.0,388.3326133909287,59,1357
1_6_4,182,Adv,259.20953163516845,180.0,381.910411622276,58,1217
1_6_4,182,Ele,257.3053311793215,189.0,375.19905771495877,59,1238
1_6_4,183,Adv,276.55444646098005,172.0,409.627688172043,58,1102
1_6_4,183,Ele,249.48651348651347,172.0,377.81543116490167,59,1001
1_6_4,184,Adv,235.86962106615286,165.0,357.24610894941634,58,1557
1_6_4,184,Ele,264.3955357142857,196.5,376.2681067344346,59,1120
1_6_4,185,Adv,272.77644411102773,196.0,381.14360587002096,58,1333
1_6_4,185,Ele,223.180790960452,180.0,334.41693121693123,59,1416
1_7_1,186,Adv,237.67779056386652,178.0,353.36526946107784,58,1738
1_7_1,186,Ele,271.3896866840731,188.0,392.6052880075543,59,1532
1_7_1,187,Adv,242.52501437607822,185.0,361.0881849315069,58,1739
1_7_1,187,Ele,258.50376647834275,198.0,364.5830013280212,59,1062
1_7_1,188,Adv,206.19198508853682,165.0,317.4232424677188,58,2146
1_7_1,188,Ele,189.32944915254237,166.0,290.14123376623377,59,1888
1_7_1,189,Adv,214.64791288566244,167.0,328.53055555555557,58,1102
1_7_1,189,Ele,200.85747303543914,170.5,304.2158693115519,59,1298
1_7_1,190,Adv,219.89770114942527,179.5,335.045534150613,58,870
1_7_1,190,Ele,222.16525423728814,188.0,311.6255572065379,59,944
1_7_1,191,Adv,157.10344827586206,153.0,265.76666666666665,58,406
1_7_1,191,Ele,175.34382566585955,143.0,289.668,59,413
1_7_1,192,Adv,155.7896551724138,116.5,278.0246153846154,58,580
1_7_1,192,Ele,163.4677966101695,145.5,290.5,59,590
1_7_1,193,Adv,217.85775862068965,181.0,319.89240506329116,58,232
1_7_1,193,Ele,258.6949152542373,203.0,341.7089552238806,59,177
1_7_2,194,Adv,246.9995066600888,175.0,371.41543026706233,58,2027
1_7_2,194,Ele,238.42779291553134,172.5,367.4023792862141,58,2202
1_7_2,195,Adv,227.63615903975995,171.0,348.3800229621125,58,1333
1_7_2,195,Ele,263.51206896551724,200.5,376.9099876695438,58,1160
1_7_2,196,Adv,279.75031928480206,218.5,383.27996500437445,58,1566
1_7_2,196,Ele,250.43379310344827,192.5,361.6822709163347,58,1450
1_7_2,197,Adv,200.41909814323608,155.0,312.54601861427096,58,1508
