text_id,level,mean_HigherPassFixation,median_HigherPassFixation,mean_nonzero_HigherPassFixation,n_subjects,n_rows
3_10_4,Adv,163.5334522747547,0.0,419.1791158536585,52,3363
3_10_4,Ele,187.04698833175655,0.0,441.97168405365124,55,3171
3_10_5,Adv,112.66196057538626,0.0,362.41045415595545,55,3754
3_10_5,Ele,103.06156202143951,0.0,328.2887804878049,52,3265
3_10_6,Adv,133.85416666666666,0.0,360.12738853503186,55,2112
3_10_6,Ele,118.27427427427428,0.0,369.2375,52,1998
3_1_1,Adv,205.06327445293962,0.0,449.3385326400924,55,3793
3_1_1,Ele,177.2398717575051,0.0,442.26181818181817,52,3431
3_1_2,Adv,285.9667616334283,83.0,556.6044362292051,55,2106
3_1_2,Ele,276.8072289156627,139.0,505.23726851851853,52,1577
3_1_3,Adv,154.88320707070707,0.0,388.1882911392405,52,3168
3_1_3,Ele,150.77966101694915,0.0,382.28111011638316,55,2832
3_1_4,Adv,208.82436106579664,0.0,437.3895216400911,52,3678
3_1_4,Ele,192.4576216564615,0.0,418.4975473020322,55,3103
3_1_5,Adv,193.2573652028905,0.0,428.1650246305419,52,3598
3_1_5,Ele,185.10656098634962,0.0,433.82559339525284,55,2271
3_2_1,Adv,186.90378112511527,0.0,464.1206106870229,55,3253
3_2_1,Ele,192.78176122520014,0.0,470.97108843537416,52,2873
