text_id,align_idx,level,mean_NF,median_NF,mean_nonzero_NF,n_subjects,n_rows
1_6_1,171,Ele,1.4876543209876543,1.0,1.8976377952755905,54,648
1_6_2,172,Adv,2.0146871008939975,2.0,2.4325366229760985,54,1566
1_6_2,172,Ele,2.240740740740741,2.0,2.6837029893924784,54,1242
1_6_2,173,Adv,2.1121121121121122,2.0,2.5985221674876846,54,1998
1_6_2,173,Ele,1.8529741863075195,1.0,2.3335689045936396,54,1782
1_6_2,174,Adv,2.0105820105820107,2.0,2.4203821656050954,54,378
1_6_2,174,Ele,1.4685185185185186,1.0,1.844186046511628,54,540
1_6_2,175,Adv,1.4050179211469533,1.0,1.9470198675496688,54,1674
1_6_2,175,Ele,1.3446833930704898,1.0,1.8947811447811447,54,1674
1_6_2,176,Adv,1.237037037037037,1.0,1.6616915422885572,54,540
1_6_2,176,Ele,1.3444444444444446,1.0,1.815,54,540
1_6_3,177,Adv,1.8209876543209877,1.0,2.361717612809316,54,1782
1_6_3,177,Ele,1.635185185185185,1.0,2.1642156862745097,54,1620
1_6_3,178,Adv,1.6450617283950617,1.0,2.134134134134134,54,1296
1_6_3,178,Ele,1.5638888888888889,1.0,1.9800703399765534,54,1080
1_6_3,179,Adv,1.9537037037037037,2.0,2.2835497835497836,54,1080
1_6_3,179,Ele,1.8813131313131313,1.5,2.2806122448979593,54,1188
1_6_3,180,Adv,2.344605475040258,2.0,2.765432098765432,54,1242
1_6_3,180,Ele,1.7777777777777777,1.0,2.0842911877394634,54,918
1_6_4,181,Adv,1.599537037037037,1.0,2.02046783625731,54,864
1_6_4,181,Ele,1.4718196457326893,1.0,2.067873303167421,54,1242
1_6_4,182,Adv,1.5590828924162257,1.0,2.055813953488372,54,1134
1_6_4,182,Ele,1.5467372134038802,1.0,2.037166085946574,54,1134
1_6_4,183,Adv,1.642300194931774,1.0,2.16025641025641,54,1026
1_6_4,183,Ele,1.4760348583877996,1.0,2.059270516717325,54,918
1_6_4,184,Adv,1.5781893004115226,1.0,2.170754716981132,54,1458
1_6_4,184,Ele,1.6042884990253412,1.0,2.102171136653895,54,1026
1_6_4,185,Adv,1.568438003220612,1.0,2.0613756613756613,54,1242
1_6_4,185,Ele,1.3032407407407407,1.0,1.7948990435706695,54,1296
1_7_1,186,Adv,1.3623456790123456,1.0,1.875106202209006,54,1620
1_7_1,186,Ele,1.4123931623931625,1.0,1.9365234375,54,1404
1_7_1,187,Adv,1.3993827160493828,1.0,1.8939014202172098,54,1620
1_7_1,187,Ele,1.286008230452675,1.0,1.7705382436260624,54,972
1_7_1,188,Adv,1.1896896896896898,1.0,1.6704146170063248,54,1998
1_7_1,188,Ele,1.0908564814814814,1.0,1.515273311897106,54,1728
1_7_1,189,Adv,1.1968810916179338,1.0,1.6844993141289437,54,1026
1_7_1,189,Ele,1.164983164983165,1.0,1.624413145539906,54,1188
1_7_1,190,Adv,1.4469135802469135,1.0,1.9087947882736156,54,810
1_7_1,190,Ele,1.2916666666666667,1.0,1.6858006042296072,54,864
1_7_1,191,Adv,0.9523809523809523,1.0,1.44,54,378
1_7_1,191,Ele,1.0714285714285714,1.0,1.6330645161290323,54,378
