text_id,level,mean_GD,median_GD,mean_nonzero_GD,n_subjects,n_rows
1_9_1,Ele,156.7,154.0,233.38297872340425,55,3850
1_9_2,Adv,164.64586404586404,157.0,241.50961076405574,55,6105
1_9_2,Ele,161.4080800593032,159.0,232.1316631130064,56,5396
1_9_3,Adv,176.76927016645325,157.0,256.1350649350649,55,3905
1_9_3,Ele,151.10160098522167,152.0,226.68729792147806,56,3248
1_9_4,Adv,162.1378410914928,163.0,229.7029562251279,56,4984
1_9_4,Ele,160.39000999001,159.0,226.7020615645298,55,5005
1_9_5,Adv,159.49806547619048,154.0,244.48608576642334,56,6720
1_9_5,Ele,162.69624242424243,156.0,239.42989653942206,55,4125
1_9_6,Adv,150.40156434474616,149.0,235.9076388888889,56,6776
1_9_6,Ele,152.37043606799705,149.0,235.823838938458,55,6765
2_10_1,Adv,137.72330827067668,124.0,240.00524109014674,50,6650
2_10_1,Ele,150.17589893100097,147.0,239.50867947923123,49,5145
2_10_2,Adv,152.1616581907844,146.0,238.66980904036743,50,6489
2_10_2,Ele,161.92992595268197,160.0,245.57819775404,49,5537
2_10_3,Adv,162.03122274550847,156.0,251.8777114967462,49,5733
2_10_3,Ele,139.65045871559633,133.0,232.75076452599387,50,5450
2_10_4,Adv,161.15010741138562,146.0,266.8399288572699,49,7448
2_10_4,Ele,161.66758620689654,154.0,244.01596113809853,50,4350
2_1_1,Adv,174.4413697682463,168.0,247.9400196656834,49,5782
2_1_1,Ele,153.44358490566037,151.0,231.6294502990601,50,5300
2_1_2,Adv,145.6109792754311,139.0,245.24567013056222,49,6321
2_1_2,Ele,132.09347368421052,131.0,224.08714285714285,50,4750
2_1_3,Adv,138.79396226415093,139.0,224.27073170731708,50,5300
2_1_3,Ele,153.20068027210885,151.0,239.0499778858912,49,3528
2_1_4,Adv,130.2899393939394,126.0,227.15384615384616,50,8250
2_1_4,Ele,147.18775510204082,146.0,239.39867225716281,49,4655
2_1_5,Adv,147.7726950856819,142.0,240.8640350877193,50,7061
2_1_5,Ele,163.15373034459685,158.0,246.10976532929598,49,5978
2_1_6,Adv,178.86712670679782,168.0,257.50665821179456,49,6811
2_1_6,Ele,156.07666666666665,154.0,230.52157544164496,50,5100
2_2_1,Adv,147.50666666666666,137.0,243.14285714285714,50,5550
2_2_1,Ele,160.26376588371198,156.0,247.88862418106015,49,5194
2_2_2,Adv,140.07830065359477,131.0,237.02698518026986,50,7650
2_2_2,Ele,151.13894919669997,147.0,244.83446658851113,49,6909
2_2_3,Adv,159.07333333333332,149.0,245.98969072164948,50,5100
2_2_3,Ele,170.67157095396297,165.0,244.9625340599455,49,4214
2_2_4,Adv,195.05320699708454,182.0,262.3656862745098,49,2744
2_2_4,Ele,170.682,161.5,242.17082860385926,50,2500
2_2_5,Adv,162.34334578901982,154.0,252.30846549028368,49,6958
2_2_5,Ele,136.8992523364486,136.0,224.8038674033149,50,5350
2_2_6,Adv,160.97278911564626,156.0,247.13315926892952,49,4116
2_2_6,Ele,144.10202898550725,142.0,228.47058823529412,50,3450
2_3_1,Adv,145.53437037037037,136.0,240.65580597746202,50,6750
2_3_1,Ele,153.73265306122448,155.0,236.02723547842854,49,6370
